Timestamp,Units,Dropout,Batch Size,MAE,MSE,R2
2025-07-18_11-49-07,74,0.1,59,1.5613030195236206,8.422405242919922,0.6340430974960327
2025-07-18_12-59-02,128,0.1,58,1.6877470016479492,8.281816482543945,0.6401517391204834
2025-07-18_13-19-17,97,0.1,16,1.6503268480300903,8.430318832397461,0.6336991786956787
