Timestamp,Units,Dropout,Batch Size,MAE,MSE,R2
2025-07-16_13-06-45,79,0.1,64,3.5226149559020996,16.523950576782227,-0.0021359920501708
2025-07-17_09-21-30,102,0.1433796487384008,60,3.5232088565826416,16.530405044555664,-0.0025274753570556
2025-07-17_09-37-06,54,0.1,16,3.5194427967071533,16.498661041259766,-0.0006022453308105
2025-07-17_09-43-44,40,0.1,24,3.5183160305023193,16.493406295776367,-0.0002834796905517
2025-07-17_09-47-58,49,0.1,48,3.5247373580932617,16.549528121948242,-0.0036871433258056
2025-07-17_09-54-04,49,0.1,16,3.5179636478424072,16.492162704467773,-0.0002081394195556
2025-07-18_10-54-17,90,0.5,16,3.515838623046875,16.488731384277344,0.0
2025-07-18_11-33-52,91,0.1661073540303755,17,3.5142407417297363,16.4907283782959,-0.0001212358474731
2025-07-18_12-39-50,79,0.4694147325776979,37,3.524718761444092,16.549272537231445,-0.003671646118164
2025-07-18_12-55-55,112,0.1,32,1.3990520238876343,4.331145286560059,0.737326979637146
