Timestamp,Units,Dropout,Batch Size,MAE,MSE,R2
2025-07-18_08-43-31,89,0.166524350085679,36,2.0836195945739746,7.902759075164795,0.6593449711799622
2025-07-18_08-53-52,105,0.1572657908205674,26,2.239121913909912,8.474726676940918,0.6346898078918457
2025-07-18_10-59-56,128,0.1,27,2.1056628227233887,7.8347015380859375,0.6622786521911621
2025-07-18_11-39-42,108,0.204952023499245,28,2.329470634460449,8.864800453186035,0.617875337600708
2025-07-18_13-11-37,51,0.30499302548797613,37,2.493293523788452,9.453726768493652,0.5924892425537109
