head_size,num_heads,ff_dim,dropout,learning_rate,batch_size,mse,mae,R2
32,2,256,0.1,5e-05,16,19.505564697282505,3.1929460184830276,0.4910023423376001
64,8,256,0.0,0.0001,16,22.9722131801312,3.523089901967482,0.3843520528640726
64,8,256,0.1,5e-05,16,21.88526225498051,3.4360469562780036,0.41348198912486345
