Timestamp,Units,Dropout,Batch Size,MAE,MSE,R2,Learning Rate,Num Layers,Lookback
2025-07-05_09-04-21,91,0.309,29,3.357583294336598,19.96800623461643,,,,
2025-07-05_12-22-55,57,0.1,16,3.360332541101685,20.769179814529636,0.4455172653221529,,,
2025-07-05_13-07-44,128,0.222,16,3.206457399063285,19.382436782679783,0.4942143239377886,,,
2025-07-05_14-37-59,105,0.369,17,3.4729039337395675,21.20246380785171,0.4467206259214132,,,
2025-07-09_16-52-16,78,0.163,16,3.2350055841617844,19.64346094516927,0.4874028851092461,,,
2025-07-11_07-39-04,87,0.352,16,3.575002748103424,21.0867779838242,0.4349013784909954,,,
2025-07-11_08-57-52,67,0.155,35,3.4624055320893365,20.928496142234724,0.43914312896424146,0.00632,1.0,24.0
