Timestamp,Units,Dropout,Batch Size,Num Layers,Lookback,Learning Rate,MAE,MSE,R2
2025-07-22_00-33-08,128,0.3,16,2,48,0.001,3.604625201076997,19.82165111746495,0.376742985939283
2025-07-24_18-59-43,96,0.2,64,3,12,0.001,3.1512441292659594,17.230829746464675,0.4908420161207002
